Problem,Status,User time,Failure,Version,Preprocessing time,...number of literals in the above,...of the previous two non-trivial,...of these trivial,...remaining for further processing,...subsumed,BW rewrite match attempts,BW rewrite match successes,Backward-rewritten,Backward-subsumed,Clause-clause subsumption calls (NU),Clauses deleted for lack of memory,Condensation attempts,Condensation successes,Contextual simplify-reflections,Current number of archived clauses,Current number of archived formulas,Current number of processed clauses,Current number of unprocessed clauses,Equation resolutions,Factorizations,Generated clauses,Initial clauses,Initial clauses in saturation,Maximum resident set size,Negative unit clauses,Non-unit clause-clause subsumptions,Non-unit-clauses,Other redundant clauses eliminated,Paramodulations,Parsed axioms,Positive orientable unit clauses,Positive unorientable unit clauses,Processed clauses,Proof object clause conjectures,Proof object clause steps,Proof object conjectures,Proof object formula conjectures,Proof object formula steps,Proof object generating inferences,Proof object given clauses,Proof object initial clauses used,Proof object initial formulas used,Proof object simplifying inferences,Proof object total steps,Proof search given clauses,Rec. Clause-clause subsumption calls,Removed by relevancy pruning/SinE,Removed in clause preprocessing,Rewrite failures with RHS unbound,System time,Total time,Unit Clause-clause subsumption calls,Filename,Heuristic,Type,Equational
LCL793-1.p,T,0.047,success,1.9.1pre005,0.036,3761,628,20,311,66,50,22,2,0,6651,0,0,0,9,315,0,309,1329,41,4,862,1105,1103,6052,10,65,213,31,817,1105,83,3,397,3,7,3,0,0,1,3,3,0,2,7,311,5168,0,2,0,0.004,0.051,20,172336135.txt,0001_FIFO,general,equational
LCL794-1.p,F,-,maxtime,1.9.1pre005,0.018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172336139.txt,0001_FIFO,general,equational
LCL795-1.p,T,0.160,success,1.9.1pre005,0.031,29628,10601,48,700,130,60,24,2,0,62094,0,0,0,9,703,0,698,10621,105,4,12098,920,919,14556,17,121,547,74,11989,920,128,6,878,4,10,4,0,0,1,4,4,0,3,10,700,44630,0,1,0,0.006,0.166,1192,172336143.txt,0001_FIFO,general,equational
LCL796-1.p,T,15.546,success,1.9.1pre005,0.035,3764757,1260236,429,5389,2738,6432,294,28,88,2358054,0,0,0,671,5506,0,5273,1235644,2963,36,1325642,1016,1015,934528,71,2990,4562,2855,1322643,1016,579,61,8556,3,8,3,0,0,1,4,3,0,2,8,5389,1513736,0,1,14,0.611,16.157,36260,172336147.txt,0001_FIFO,general,equational
LCL797-1.p,F,-,maxtime,1.9.1pre005,0.020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172336151.txt,0001_FIFO,general,equational
LCL798-1.p,T,0.018,success,1.9.1pre005,0.010,1280,620,2,125,48,11,0,0,0,1215,0,0,0,7,125,0,125,525,13,2,672,80,80,3840,16,33,84,6,657,80,23,2,175,2,12,2,0,0,2,6,5,0,3,12,125,646,0,0,0,0.001,0.019,87,172336155.txt,0001_FIFO,general,equational
LCL799-1.p,T,0.087,success,1.9.1pre005,0.015,11812,4252,30,466,122,316,8,2,0,29388,0,0,0,17,468,0,464,3919,32,2,4522,294,294,9108,21,103,372,10,4488,294,65,6,618,3,10,3,0,0,2,5,4,0,2,10,466,25563,0,0,0,0.003,0.090,990,172336159.txt,0001_FIFO,general,equational
LCL800-1.p,T,0.205,success,1.9.1pre005,0.017,53771,20829,47,679,410,87,33,6,4,34448,0,0,0,43,690,0,669,19456,272,5,23233,390,389,18916,37,319,518,234,22956,390,109,5,1136,2,12,2,0,0,1,6,5,0,3,12,679,27023,0,1,0,0.008,0.213,2023,172336163.txt,0001_FIFO,general,equational
LCL801-1.p,F,-,maxtime,1.9.1pre005,0.037,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172336167.txt,0001_FIFO,general,equational
LCL802-1.p,T,0.109,success,1.9.1pre005,0.016,14532,5933,44,582,178,1068,41,1,4,26518,0,0,0,17,589,0,577,5439,32,2,6418,329,328,11020,24,130,447,10,6384,329,85,21,805,2,8,2,0,0,1,4,3,0,1,8,583,22387,0,1,0,0.007,0.116,1350,172336171.txt,0001_FIFO,general,equational
LCL803-1.p,T,0.272,success,1.9.1pre005,0.038,34111,12095,44,650,104,579,42,11,0,60419,0,0,0,5,661,0,637,12045,38,2,12920,798,798,23636,12,95,422,15,12880,798,184,19,798,4,17,4,0,0,1,7,7,0,8,17,650,33270,0,0,4,0.012,0.283,1390,172336175.txt,0001_FIFO,general,equational
LCL804-1.p,F,-,maxtime,1.9.1pre005,0.040,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172336179.txt,0001_FIFO,general,equational
LCL805-1.p,T,0.129,success,1.9.1pre005,0.030,16134,6572,68,727,118,57,15,1,0,56806,0,0,0,10,733,0,726,6566,150,4,7583,919,914,12436,16,106,496,119,7429,919,198,16,914,3,7,3,0,0,0,3,3,0,4,7,728,43516,0,5,0,0.006,0.135,2596,172336183.txt,0001_FIFO,general,equational
LCL806-1.p,T,0.935,success,1.9.1pre005,0.020,171737,67149,92,1230,585,4155,98,28,16,84750,0,0,0,83,1276,0,1185,61862,345,7,70991,411,409,65284,46,446,921,311,70639,411,201,17,1907,10,12,10,0,0,2,6,5,0,3,12,1230,71306,0,2,0,0.034,0.969,4461,172336187.txt,0001_FIFO,general,equational
LCL807-1.p,T,0.027,success,1.9.1pre005,0.016,1601,497,7,192,27,33,0,0,0,2786,0,0,0,1,193,0,192,543,9,2,571,273,273,4676,13,17,135,0,560,273,43,1,227,2,8,2,0,0,0,3,3,0,2,8,193,2399,0,0,0,0.002,0.029,286,172336191.txt,0001_FIFO,general,equational
LCL808-1.p,T,0.013,success,1.9.1pre005,0.010,1280,615,2,118,45,11,0,0,0,1461,0,0,0,7,118,0,118,525,11,2,665,75,75,3832,14,31,80,6,652,75,22,2,165,2,12,2,0,0,2,6,5,0,3,12,118,903,0,0,0,0.005,0.018,11,172336195.txt,0001_FIFO,general,equational
